_id,id_bank,id_city,address,address_ua,address_en,time,time_ua,time_en,position,position_ua,position_en,type,type_ua,type_en,latitude,longitude,comment
,1,1,"ул. в. хромых, 21 а","вул. в. кульгавих, 21 а","st. in. lame, 21 and",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,44.6761135,34.4102127,
,1,1,"ул. ленина, 5","вул. леніна, 5","st. Lenin, 5",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Предприятие с ограниченным доступом,Підприємство з обмеженим доступом,Company with limited access,44.669429,34.412385,
,1,2,управление по добыче газа,управління з видобутку газу,Control of Gas,Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,"Фабрика, завод, организация",Фабрика ,Factory,0,0,
,2,3,"ул. карла маркса, 8","вул. карла маркса, 8","st. Karl Marx, 8",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.7109177,34.3952097,
,1,3,"ул. крымская, 37","вул. кримська, 37","st. Crimean, 37",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.7088315,34.3886769,
,2,3,"ул. ленина, 44","вул. леніна, 44","st. Lenin, 44",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.705058,34.4025542,
,1,4,остановка "универсам",зупинка \ універсам \,stop \ supermarket\,Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,45.201477,33.346039,
,3,4,"проспект ленина, 51","проспект леніна, 51","Lenin Avenue, 51",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,45.1887716,33.3550716,
,2,4,"ул. интернациональная, 105","вул. інтернаціональна, 105","st. International, 105",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.199516,33.356672,
,4,4,"ул. киевская, 19/20","вул. київська, 19/20","st. Kiev, 19/20",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Игровые, развлекательные центры, кафе, рестораны",Ігрові ,Gaming ,45.1784905,33.342692,
,4,4,"ул. революции, 55 а","вул. революції, 55 а","st. revolution, 55 and",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.193607,33.374107,
,1,4,"ул. революции, 61/4/8","вул. революції, 61/4/8","st. revolution, 61/4/8",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,45.192821,33.372959,
,4,4,"ул. токарева, 4","вул. Токарєва, 4","st. Tokarev, 4",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Гостиница,Готель,Catering,45.1856023,33.3640365,
,1,4,"ул. фрунзе, 17","вул. фрунзе, 17","st. Frunze, 17",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,45.187695,33.357322,
,1,4,"ул. фрунзе, 65 а","вул. фрунзе, 65 а","st. Frunze, 65 and",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,45.196437,33.354837,
,2,5,"ул. карла маркса, 10","вул. карла маркса, 10","st. Karl Marx, 10",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,45.358906,36.4689481,
,5,5,"ул. кирова, 45","вул. Кірова, 45","st. Kirov, 45",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.364025,36.485437,
,3,5,"ул. курсантов, 20","вул. курсантів, 20","st. cadets, 20",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,45.358249,36.4645139,
,1,5,"ул. ленина, 17 а","вул. леніна, 17 а","st. Lenin, 17 and",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,45.354885,36.470679,
,1,6,"ул. набережная, 1","вул. набережна, 1","st. embankment, 1",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Почтовое учреждение,Поштове установа,post office,44.9699127,33.601246,
,1,7,"ул. садовая, 8","вул. садова, 8","st. garden, 8",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,45.0660156,33.663117,
,1,8,"проспект генерала острякова, 123 г","проспект Генерала Острякова, 123 г","Prospect General Ostryakova, 123 g",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.5680243,33.5248664,
,4,8,"проспект генерала острякова, 164","проспект Генерала Острякова, 164","Prospect General Ostryakova, 164",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.561262,33.5267153,
,1,8,"проспект героев сталинграда, 27","проспект Героїв Сталінграду, 27","Heroes of Stalingrad Avenue, 27",Круглосуточно,цілодобово,clock,Внутренний (Зона 24),Внутрішній (Зона 24 ),Internal ( Zone 24),Банковское подразделение,банківський підрозділ,banking division,44.584297,33.4388526,
,6,8,"проспект героев сталинграда, 63","проспект Героїв Сталінграду, 63","Heroes of Stalingrad Avenue, 63",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.593307,33.444641,
,1,8,"проспект октябрьской революции, 46","проспект жовтневої революції, 46","Prospect of the October Revolution, 46",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.5915906,33.4582478,
,6,8,"ул. большая морская, 23","вул. велика морська, 23","st. large sea, 23",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.6057681,33.522589,
,3,8,"ул. большая морская, 25","вул. велика морська, 25","st. large sea, 25",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,44.605415,33.522783,
,1,8,"ул. большая морская, 28","вул. велика морська, 28","st. large sea, 28",Круглосуточно,цілодобово,clock,Холл (Зона 24),Холл (Зона 24 ),Hall (Zone 24),Банковское подразделение,банківський підрозділ,banking division,44.606311,33.52166,
,1,8,"ул. гагарина, 10 в","вул. гагарина, 10 в","st. Gagarin, 10",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,44.60017,33.487728,
,3,8,"ул. генерала петрова, 10","вул. генерала петрова, 10","st. General Petrov, 10",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,44.6087188,33.5175823,
,1,8,"ул. генерала петрова, 15","вул. генерала петрова, 15","st. General Petrov, 15",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,"Фабрика, завод, организация",Фабрика ,Factory,44.6078925,33.5158333,
,1,8,"ул. героев севастополя, 25","вул. героїв севастополя, 25","st. heroes of Sevastopol, 25",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.606339,33.54416,
,2,8,"ул. курчатова, 1","вул. курчатова, 1","st. Kurchatov, 1",08:00 - 20:00,8:00 - 20:00,08:00 - 20:00,Холл,Холл,Hall,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,44.620884,33.567129,
,1,8,"ул. ленина, 45","вул. леніна, 45","st. Lenin, 45",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.602658,33.526188,
,2,8,"ул. маяковского, 9","вул. маяковського, 9","st. mayakovskogo, 9",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.612529,33.517677,
,2,8,"ул. рыбаков, 5","вул. рибалок, 5","st. fishermen, 5",Круглосуточно,цілодобово,clock,Холл (проходная),Холл ( прохідна ),Hall (continuous ),"Фабрика, завод, организация",Фабрика ,Factory,44.578912,33.4329546,
,1,9,евпаторийское шоссе,евпаторийское шосе,Evpatoria highway,Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,"Фабрика, завод, организация",Фабрика ,Factory,44.9817188,34.0673809,
,1,9,"евпаторийское шоссе, 8","евпаторийское шосе, 8","Evpatoria highway, 8",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,44.9697564,34.078365,
,1,9,"пер. пионерский, 2/10","пер. піонерський, 2/10","ln. pioneer, 2.10",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.9454325,34.0928305,
,1,9,"пер. пионерский, 2/10","пер. піонерський, 2/10","ln. pioneer, 2.10",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,44.9454325,34.0928305,
,2,9,"проспект кирова, 37","проспект Кірова, 37","Kirov Avenue, 37",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,"Фабрика, завод, организация",Фабрика ,Factory,44.953067,34.103338,
,6,9,"проспект кирова, 66","проспект Кірова, 66","Kirov Avenue, 66",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,44.956121,34.104873,
,1,9,"ул. гагарина, 1","вул. гагарина, 1","st. Gagarin, 1",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,44.962581,34.0852014,
,1,9,"ул. гагарина, 35","вул. гагарина, 35","st. Gagarin, 35",Круглосуточно,цілодобово,clock,Холл (Зона 24),Холл (Зона 24 ),Hall (Zone 24),Банковское подразделение,банківський підрозділ,banking division,44.9722564,34.0960745,
,6,9,"ул. и. франка, 4","вул. і. франка, 4","st. and. franc, 4",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.9563273,34.1007947,
,6,9,"ул. карла маркса, 47","вул. карла маркса, 47","st. Karl Marx, 47",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.1179152,34.0211514,
,3,9,"ул. карла маркса, 5","вул. карла маркса, 5","st. Karl Marx, 5",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,45.1179152,34.0211514,
,4,9,"ул. маршала жуковского, 21","вул. маршала жуковского, 21","st. Marshal Zhukov's, 21",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Торговый центр,Торговий центр,shopping Center,44.943534,34.061733,
,1,9,"ул. мате залки / киевская, 1/9","вул. Мате Залки / київська, 1/9","st. Mate Zalka / Kiev, 1.9",Круглосуточно,цілодобово,clock,Внутренний (Зона 24),Внутрішній (Зона 24 ),Internal ( Zone 24),Банковское подразделение,банківський підрозділ,banking division,44.949508,34.1304959,
,7,9,"ул. павленко, 5","вул. павленко, 5","st. Pavlenko, 5",08:00 - 20:00,8:00 - 20:00,08:00 - 20:00,Холл,Холл,Hall,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,44.959663,34.090362,
,1,9,"ул. пушкина, 7","вул. пушкіна, 7","st. Pushkin, 7",Круглосуточно,цілодобово,clock,Холл (Зона 24),Холл (Зона 24 ),Hall (Zone 24),Банковское подразделение,банківський підрозділ,banking division,44.951165,34.098684,
,1,9,"ул. пушкина, 7/12","вул. пушкіна, 7/12","st. Pushkin, 7.12",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,44.951165,34.098684,
,1,9,"ул. севастопольская, 51 а","вул. севастопольська, 51 а","st. Sevastopol, 51 and",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Фабрика, завод, организация",Фабрика ,Factory,44.9396739,34.0942399,
,7,9,"ул. стахановцев, 2 б","вул. стахановців, 2 б","st. Stakhanovite, 2 b",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,44.956037,34.117189,
,3,9,"ул. турецкая, 14","вул. турецька, 14","st. Turkish, 14",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,44.9458691,34.101514,
,4,9,"ул. ценского / турецкая, 12/4","вул. Ценського / турецька, 12/4","st. Tsensky / Turkish, 4.12",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,44.944793,34.1045759,
,1,9,"ул. элеваторная, 14","вул. елеваторна, 14","st. silo, 14",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Фабрика, завод, организация",Фабрика ,Factory,44.9432117,34.0798844,
,1,10,"ул. ленина, 19","вул. леніна, 19","st. Lenin, 19",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Торговый центр,Торговий центр,shopping Center,44.8539908,34.9760199,
,1,11,"ул. земская / карла либкнехта, 6","вул. земська / Карла Лібкнехта, 6","st. Zemstvo / Karl Liebknecht, 6",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,0,0,
,1,11,"ул. земская / карла либкнехта, 6","вул. земська / Карла Лібкнехта, 6","st. Zemstvo / Karl Liebknecht, 6",Круглосуточно,цілодобово,clock,Внутренний (Зона 24),Внутрішній (Зона 24 ),Internal ( Zone 24),Банковское подразделение,банківський підрозділ,banking division,0,0,
,5,11,"ул. карла либнекхта, 10","вул. карла лібнекхта, 10","st. Karl libnekhta, 10",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,45.029909,35.381534,
,3,11,"ул. коробкова, 2 а","вул. Коробкова, 2 а","st. Korobkova, 2 and",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,45.0263266,35.3835074,
,1,11,ул. советская-назукина,"вул, радянська - Назукіна","st, Soviet - Nazukina",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,0,0,
,1,11,ул. федько (ост."динамо"),"вул. Федько ( ост, \ динамо \ )","st. fedko (remaining, \ dynamo \ )",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,0,0,
,1,11,ул. федько (ост."к. украина"),"вул. Федько ( ост. \ к, Україна \ )","st. fedko (remaining. \ to, Ukraine \)",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,0,0,
,1,12,база бурения,база буріння,base drilling,Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,"Фабрика, завод, организация",Фабрика ,Factory,0,0,
,1,12,"ул. ломоносова, 1","вул. ломоносова, 1","st. University, 1",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Почтовое учреждение,Поштове установа,post office,45.4948278,32.7068216,
,1,13,"набережная ленина, 15/1","набережна леніна, 15/1","Lenin's Quay, 15/1",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,44.494837,34.166021,
,1,13,"набережная ленина, 15/2","набережна леніна, 15/2","Lenin's Quay, 15/2",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,44.4947105,34.1660764,
,3,13,"ул. гоголя, 24","вул. гоголя, 24","st. Goldeneye, 24",09:00 - 18:00,9:00 - 18:00,09:00 - 18:00,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,44.4902229,34.154376,
,5,13,"ул. игнатенко, 3","вул. Ігнатенко, 3","st. Ignatenko, 3",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Фабрика, завод, организация",Фабрика ,Factory,44.4967598,34.1712512,
,1,13,ул. киевская,"вул, київська","st, Kiev",Круглосуточно,цілодобово,clock,Внутренний (Зона 24),Внутрішній (Зона 24 ),Internal ( Zone 24),Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,44.5055684,34.168497,
,2,13,"ул. киевская, 36 б","вул. київська, 36 б","st. Kiev, 36 b",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.506367,34.16807,
,4,13,"ул. киевская, 56","вул. київська, 56","st. Kiev, 56",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Банковское подразделение,банківський підрозділ,banking division,44.507696,34.168307,
,1,13,"ул. московская, 37","вул. московська, 37","st. Moscow, 37",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,44.5078281,34.1691921,
,1,13,ул. пушкинская,"вул, пушкінська","st, Pushkin",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,44.4903946,34.1583918,
,1,13,ул. садовая (остановка),"вул, садова (зупинення)","st, garden (stop)",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,44.497002,34.165878,
,2,14,"ул. ленина, 12","вул. леніна, 12","st. Lenin, 12",08:00 - 22:00,8:00 - 22:00,08:00 - 22:00,1-й этаж,1 -й поверх,1st floor,Торговый центр,Торговий центр,shopping Center,45.1404774,1.0719485,
,8,14,"ул. пролетарская, 16","вул. пролетарська, 16","st. proletarian, 16",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Игровые, развлекательные центры, кафе, рестораны",Ігрові ,Gaming ,0,0,
,2,14,"ул. пролетарская, 26/2","вул. пролетарська, 26/2","st. proletarian, 26/2",08:00 - 23:00,8:00 - 23:00,08:00 - 23:00,Холл,Холл,Hall,Торговый центр,Торговий центр,shopping Center,0,0,
,8,15,"ул. ленина, 124","вул. леніна, 124","st. Lenin, 124",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,"Фабрика, завод, организация",Фабрика ,Factory,48.8162706,28.9461989,
,8,16,"гневанское шоссе, 7 км","ГНІВАНСЬКИЙ шосе, 7 км","gnevanskoe highway, 7 km",Круглосуточно,цілодобово,clock,Холл,Холл,Hall,Медицинские учреждения,Медичні установи,medical Facilities,49.233083,28.468217,
,2,16,"немировское шоссе, 26","Немирівське шосе, 26","Nemyrivske highway, 26",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,49.2313279,28.5185921,
,8,16,пл. героев сталинграда (остановка),"пл, Героїв Сталінграду ( зупинка )","pl, Heroes of Stalingrad (stop)",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Вокзал, железнодорожная станция (касса)",Вокзал ,Station ,49.2394886,28.5091916,
,6,16,"проспект космонавтов, 24","проспект космонавтів, 24","Prospect cosmonauts, 24",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.228569,28.419586,
,1,16,"проспект коцюбинского, 28","проспект коцюбинского, 28","Prospect Kotsyubinskogo, 28",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,"Фабрика, завод, организация",Фабрика ,Factory,49.2391279,28.4964698,
,8,16,"проспект коцюбинского, 30","проспект коцюбинского, 30","Prospect Kotsyubinskogo, 30",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.2395823,28.4993089,
,9,16,"проспект коцюбинского, 31","проспект коцюбинского, 31","Prospect Kotsyubinskogo, 31",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.238858,28.495381,
,3,16,"проспект коцюбинского, 4","проспект коцюбинского, 4","Prospect Kotsyubinskogo, 4",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.2393731,28.5069614,
,10,16,"проспект коцюбинского, 78","проспект коцюбинского, 78","Prospect Kotsyubinskogo, 78",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.236648,28.486845,
,1,16,"проспект коцюбинского, 78 а","проспект коцюбинского, 78 а","Prospect Kotsyubinskogo, 78 and",Круглосуточно,цілодобово,clock,Внутренний,внутрішній,internal,Банковское подразделение,банківський підрозділ,banking division,49.236648,28.486845,
,7,16,"проспект юности, 20/73","проспект юності, 20/73","Prospect youth, 20/73",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.221926,28.41466,
,2,16,"проспект юности, 43 а","проспект юності, 43 а","Prospect youth, 43 and",07:00 - 23:00,7:00 - 23:00,07:00 - 23:00,Холл,Холл,Hall,Торговый центр,Торговий центр,shopping Center,49.2275435,28.413692,
,5,16,"проспект юности/келецкая, 105","проспект юності / Келецька, 105","Prospect youth / Keletskaya, 105",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.225421,28.411911,
,7,16,ул. 40-летия победы,"вул, 40 - річчя перемоги","st, 40th anniversary of victory",08:00 - 23:00,8:00 - 23:00,08:00 - 23:00,Внутренний,внутрішній,internal,"Фабрика, завод, организация",Фабрика ,Factory,49.230453,28.4430982,
,8,16,"ул. 600-летия, 36","вул. 600 - річчя, 36","st. 600th anniversary, 36",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.228566,28.425314,
,11,16,"ул. архитектора артынова, 38","вул. архітектора Артинова, 38","st. architect Artynova, 38",Круглосуточно,цілодобово,clock,Банковское подразделение,банківський підрозділ,banking division,Банковское подразделение,банківський підрозділ,banking division,49.23201,28.463965,
,9,16,"ул. гоголя, 1","вул. гоголя, 1","st. Goldeneye, 1",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.2326895,28.4579464,
,2,16,"ул. гоголя, 30","вул. гоголя, 30","st. Goldeneye, 30",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.230779,28.4611735,
,3,16,"ул. ивана богуна, 2","вул. Івана Богуна, 2","st. Ivan Bohun, 2",Круглосуточно,цілодобово,clock,1-й этаж,1 -й поверх,1st floor,Банковское подразделение,банківський підрозділ,banking division,49.2387048,28.4645895,
,7,16,"ул. карбышева, 2","вул. Карбишева, 2","st. Karbysheva, 2",10:00 - 23:00,10:00 - 23:00,10:00 - 23:00,Внутренний,внутрішній,internal,Торговый центр,Торговий центр,shopping Center,49.1949691,28.4556691,
,8,16,"ул. келецкая, 122 а","вул. Келецька, 122 а","st. Keletskaya, 122 and",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Торговый центр,Торговий центр,shopping Center,49.22867,28.399034,
,8,16,"ул. келецкая, 36","вул. Келецька, 36","st. Keletskaya, 36",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Торговый центр,Торговий центр,shopping Center,49.2258926,28.436047,
,2,16,"ул. келецкая, 60","вул. Келецька, 60","st. Keletskaya, 60",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Другие или неподдающиеся классификации,Інші або не підлягають класифікації,Other or unclassifiable,49.225321,28.424668,
,1,16,"ул. келецкая, 78 а","вул. Келецька, 78 а","st. Keletskaya, 78 and",Круглосуточно,цілодобово,clock,Наружный,зовнішній,Outdoor,Банковское подразделение,банківський підрозділ,banking division,49.225861,28.413958,
