_id,id_bank,id_city,address,time,position,description,latitude,longitude,comment
,1,1,"ул. В. Хромых, 21 А",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
,1,1,"ул. Ленина, 5",Круглосуточно,Внутренний,Предприятие с ограниченным доступом,null,null,null
,1,2,Управление по добыче газа,Круглосуточно,Внутренний,"Фабрика, завод, организация",null,null,null
,2,3,"ул. Карла Маркса, 8",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,1,3,"ул. Крымская, 37",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,2,3,"ул. Ленина, 44",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,1,4,"остановка ""Универсам""",Круглосуточно,Внутренний,Другие или неподдающиеся классификации,null,null,null
,3,4,"пр. Ленина, 51",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,2,4,"ул. Интернациональная, 105",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,4,4,"ул. Киевская, 19/20",Круглосуточно,Наружный,"Игровые, развлекательные центры, кафе, рестораны",null,null,null
,4,4,"ул. Революции, 55 А",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,1,4,"ул. Революции, 61/4/8",Круглосуточно,Холл,Банковское подразделение,null,null,null
,4,4,"ул. Токарева, 4",Круглосуточно,Холл,Гостиница,null,null,null
,1,4,"ул. Фрунзе, 17",Круглосуточно,Внутренний,Другие или неподдающиеся классификации,null,null,null
,1,4,"ул. Фрунзе, 65 А",Круглосуточно,Холл,Банковское подразделение,null,null,null
,2,5,"ул. Карла Маркса, 10",Круглосуточно,Холл,Банковское подразделение,null,null,null
,5,5,"ул. Кирова, 45",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,3,5,"ул. Курсантов, 20",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,1,5,"ул. Ленина, 17 А",Круглосуточно,Холл,Банковское подразделение,null,null,null
,1,6,"ул. Набережная, 1",Круглосуточно,Наружный,Почтовое учреждение,null,null,null
,1,7,"ул. Садовая, 8",Круглосуточно,Внутренний,Другие или неподдающиеся классификации,null,null,null
,1,8,"пр. Генерала Острякова, 123 Г",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,4,8,"пр. Генерала Острякова, 164",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,1,8,"пр. Героев Сталинграда, 27",Круглосуточно,Внутренний (Зона 24),Банковское подразделение,null,null,null
,6,8,"пр. Героев Сталинграда, 63",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,1,8,"пр. Октябрьской Революции, 46",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,6,8,"ул. Большая Морская, 23",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,3,8,"ул. Большая Морская, 25",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,1,8,"ул. Большая Морская, 28",Круглосуточно,Холл (Зона 24),Банковское подразделение,null,null,null
,1,8,"ул. Гагарина, 10 В",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
,3,8,"ул. Генерала Петрова, 10",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,1,8,"ул. Генерала Петрова, 15",Круглосуточно,Внутренний,"Фабрика, завод, организация",null,null,null
,1,8,"ул. Героев Севастополя, 25",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,2,8,"ул. Курчатова, 1",08:00 - 20:00,Холл,Другие или неподдающиеся классификации,null,null,null
,1,8,"ул. Ленина, 45",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,2,8,"ул. Маяковского, 9",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,2,8,"ул. Рыбаков, 5",Круглосуточно,Холл (проходная),"Фабрика, завод, организация",null,null,null
,1,9,Евпаторийское шоссе,Круглосуточно,Внутренний,"Фабрика, завод, организация",null,null,null
,1,9,"Евпаторийское шоссе, 8",Круглосуточно,Холл,Банковское подразделение,null,null,null
,1,9,"пер. Пионерский, 2/10",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,1,9,"пер. Пионерский, 2/10",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
,2,9,"пр. Кирова, 37",Круглосуточно,Внутренний,"Фабрика, завод, организация",null,null,null
,6,9,"пр. Кирова, 66",Круглосуточно,Холл,Банковское подразделение,null,null,null
,1,9,"ул. Гагарина, 1",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
,1,9,"ул. Гагарина, 35",Круглосуточно,Холл (Зона 24),Банковское подразделение,null,null,null
,6,9,"ул. И. Франка, 4",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,6,9,"ул. Карла Маркса, 47",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,3,9,"ул. Карла Маркса, 5",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,4,9,"ул. Маршала Жуковского, 21",Круглосуточно,Холл,Торговый центр,null,null,null
,1,9,"ул. Мате Залки / Киевская, 1/9",Круглосуточно,Внутренний (Зона 24),Банковское подразделение,null,null,null
,7,9,"ул. Павленко, 5",08:00 - 20:00,Холл,Другие или неподдающиеся классификации,null,null,null
,1,9,"ул. Пушкина, 7",Круглосуточно,Холл (Зона 24),Банковское подразделение,null,null,null
,1,9,"ул. Пушкина, 7/12",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
,1,9,"ул. Севастопольская, 51 А",Круглосуточно,Наружный,"Фабрика, завод, организация",null,null,null
,7,9,"ул. Стахановцев, 2 Б",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,3,9,"ул. Турецкая, 14",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,4,9,"ул. Ценского / Турецкая, 12/4",Круглосуточно,Холл,Банковское подразделение,null,null,null
,1,9,"ул. Элеваторная, 14",Круглосуточно,Наружный,"Фабрика, завод, организация",null,null,null
,1,10,"ул. Ленина, 19",Круглосуточно,Наружный,Торговый центр,null,null,null
,1,11,"ул. Земская / Карла Либкнехта, 6",Круглосуточно,Холл,Банковское подразделение,null,null,null
,1,11,"ул. Земская / Карла Либкнехта, 6",Круглосуточно,Внутренний (Зона 24),Банковское подразделение,null,null,null
,5,11,"ул. Карла Либнекхта, 10",Круглосуточно,Наружный,Банковское подразделение,null,null,null
,3,11,"ул. Коробкова, 2 А",Круглосуточно,1-й этаж,Банковское подразделение,null,null,null
,1,11,ул. Советская-Назукина,Круглосуточно,Внутренний,Другие или неподдающиеся классификации,null,null,null
,1,11,"ул. Федько (ост.""Динамо"")",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
,1,11,"ул. Федько (ост.""К. Украина"")",Круглосуточно,Внутренний,Другие или неподдающиеся классификации,null,null,null
,1,12,База Бурения,Круглосуточно,Внутренний,"Фабрика, завод, организация",null,null,null
,1,12,"ул. Ломоносова, 1",Круглосуточно,Наружный,Почтовое учреждение,null,null,null
,1,13,"Набережная Ленина, 15/1",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
,1,13,"Набережная Ленина, 15/2",Круглосуточно,Внутренний,Банковское подразделение,null,null,null
